,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
329,Iambic 9 Poetry,Ultravisitor,Squarepusher,2004,415906,32,0.383,0.0391,0.383,0.549,0.88,0.0669,-12.889,0.0369,103.186,4
330,A Journey To Reedham (7am Mix),Big Loada,Squarepusher,1997-07-21,395800,20,0.467,0.00074,0.467,0.947,0.683,0.335,-9.041,0.0382,94.52,4
331,I Love Acid,YosepH,Luke Vibert,2003-10-13,259026,34,0.804,0.00595,0.804,0.872,0.521,0.211,-7.931,0.052,110.409,4
332,Sex Drive,Drive,Slap & Powell,1990-01-01,376601,13,0.625,0.277,0.625,0.505,0.903,0.0838,-15.141,0.0491,181.164,3
333,Majestic,New Dimensions,Larry Bright,1987-01-01,248164,1,0.541,0.0843,0.541,0.644,0.0042,0.367,-8.153,0.0506,150.339,4
334,GE/CH: Seq,Intenta,Various Artists,2020-03-27,247520,9,0.654,0.106,0.654,0.893,0.878,0.0625,-7.625,0.0448,95.864,4
335,Rain Dance,More Than a Dream,Steve Bach,1988-07-01,242133,8,0.527,0.767,0.527,0.341,0.00465,0.113,-15.677,0.0363,120.929,4
336,Can't Get Out Of This Mood,And It Rained All Through the Night,Bill Wolfer,1989-07-01,224640,0,0.696,0.00919,0.696,0.403,0.304,0.0915,-19.132,0.0333,108.061,4
337,Sound & Image,The Pacific Visions of Martin Glass,Martin Glass,2017-09-15,176410,10,0.488,0.325,0.488,0.829,0.864,0.412,-9.188,0.0414,96.978,4
338,Raffles In Rio,Pure Mark Isham,Mark Isham,1983,280053,11,0.636,0.957,0.636,0.284,0.962,0.0907,-21.975,0.0716,165.445,4
339,Boogie For Life,Boogie For Life,E. Live,2020-09-05,237292,24,0.867,0.0871,0.867,0.54,0.624,0.109,-13.257,0.0933,116.982,4
340,Elouisa,Kitsuné: Elouisa - EP,The Swiss,2013-06-17,316654,8,0.806,0.0229,0.806,0.823,1.31e-06,0.109,-3.998,0.103,119.956,4
341,Fever,Fever,Lenno,2015-11-20,180645,32,0.699,0.0293,0.699,0.866,4.59e-06,0.565,-5.52,0.106,113.969,4
342,Green Light - Chromeo Remix,Green Light (Chromeo Remix),Lorde,2017-05-19,247933,53,0.794,0.0414,0.794,0.88,1.88e-06,0.0958,-4.734,0.037,121.009,4
343,Keep The Faith,First Landing,Moon Boots,2017-08-04,258034,47,0.822,0.0304,0.822,0.564,0.0465,0.139,-6.669,0.0448,116.02,4
344,Go With It (feat. Chromeo),Full Circle,Oliver,2017-08-25,232573,46,0.777,0.231,0.777,0.76,0.0268,0.0802,-5.521,0.046,101.999,4
345,Just So Right - Funk Leblanc Remix,Just So Right (Funk Leblanc Remix),Alex Lewis,2014-10-19,319826,31,0.815,0.000175,0.815,0.714,0.33,0.0243,-5.776,0.0371,114.988,4
346,A Walk,Dive,Tycho,2011-10-04,316919,50,0.659,0.329,0.659,0.716,0.909,0.127,-7.816,0.0317,139.952,4
347,Luckey,Luckey,Jesse Futerman,2021-02-05,398276,31,0.463,0.764,0.463,0.517,0.908,0.0967,-13.037,0.0474,92.442,4
348,Touch,Touch,Yoshinori Hayashi,2021-02-10,513860,4,0.732,0.00498,0.732,0.456,0.885,0.113,-13.727,0.0524,124.005,4
349,Compassed,Retreat Ites EP,Jurango,2021-02-12,265615,5,0.747,0.343,0.747,0.674,0.957,0.0935,-11.744,0.0523,93.979,4
350,Prima Kalimba,Tropical Drums of Deutschland,Jan Schulte,2017-08-25,266762,5,0.714,0.172,0.714,0.766,0.85,0.0651,-13.221,0.0566,156.582,4
351,Akili Mali,Tropical Drums of Deutschland,Jan Schulte,2017-08-25,179813,11,0.731,0.849,0.731,0.818,0.86,0.124,-6.116,0.0413,116.012,4
352,Hey Tata Gorem - Wolf Müller Edit,Tropical Drums of Deutschland,Jan Schulte,2017-08-25,294736,8,0.681,0.945,0.681,0.586,0.94,0.087,-10.827,0.121,170.951,4
353,Bamboo on the Beach,Kaze no Tamago,YAS-KAZ,1985,304226,5,0.671,0.423,0.671,0.275,0.14,0.0807,-18.893,0.0363,101.88,4
354,LesAlpx,Crush,Floating Points,2019-10-18,281141,39,0.7,0.000184,0.7,0.741,0.826,0.109,-11.692,0.0411,130.025,4
355,Front Screen Projection,Offworld,Special Request,2019-09-27,273842,12,0.586,0.274,0.586,0.849,0.777,0.532,-9.656,0.0345,119.982,4
356,Rain On Me (with Ariana Grande),Chromatica,Lady Gaga,2020-05-29,182200,77,0.672,0.021,0.672,0.855,0.0,0.323,-3.764,0.0397,123.056,4
357,breathin,Sweetener,Ariana Grande,2018-08-17,198160,72,0.568,0.0211,0.568,0.656,1.37e-05,0.213,-5.413,0.0433,100.049,4
358,Don't Start Now,Future Nostalgia,Dua Lipa,2020-03-27,183290,81,0.793,0.0123,0.793,0.793,0.0,0.0951,-4.521,0.083,123.95,4
359,Sweet Nothing (feat. Florence Welch),18 Months,Calvin Harris,2012-10-29,212560,70,0.573,0.197,0.573,0.929,0.000112,0.0567,-3.942,0.109,127.934,4
360,Drumming Song,Drumming Song,Florence + The Machine,2009-01-01,223826,18,0.444,0.00127,0.444,0.81,0.000952,0.0958,-4.79,0.0434,199.971,4
361,Speechless,The Fame Monster (Deluxe Edition),Lady Gaga,2009-11-05,270813,52,0.298,0.441,0.298,0.702,0.0,0.35,-4.181,0.0398,143.828,4
362,Telephone,The Fame Monster (Deluxe Edition),Lady Gaga,2009-11-05,220640,68,0.824,0.00521,0.824,0.836,0.000817,0.112,-5.903,0.0404,122.014,4
363,Crazy In Love (feat. Jay-Z),Dangerously In Love,Beyoncé,2003-06-24,236133,75,0.646,0.00249,0.646,0.77,0.0,0.0715,-6.596,0.226,99.165,4
364,Deja Vu (feat. Jay-Z),B'Day,Beyoncé,2006-09-04,239960,47,0.763,0.00677,0.763,0.728,1.22e-05,0.0915,-4.944,0.326,105.923,4
365,Halo,I AM...SASHA FIERCE,Beyoncé,2008-11-14,261640,63,0.508,0.272,0.508,0.72,0.0,0.0563,-5.908,0.0628,79.983,4
366,Run the World (Girls),4,Beyoncé,2011-06-24,236093,71,0.733,0.00496,0.733,0.899,4.72e-05,0.372,-4.237,0.143,127.086,4
367,XO,BEYONCÉ [Platinum Edition],Beyoncé,2014-11-24,215946,62,0.47,0.171,0.47,0.792,1.28e-06,0.313,-8.932,0.26,170.085,4
368,Freedom (feat. Kendrick Lamar),Lemonade,Beyoncé,2016-04-23,289760,61,0.437,0.0376,0.437,0.803,0.0,0.683,-6.412,0.305,84.378,4
369,DNA.,DAMN.,Kendrick Lamar,2017-04-14,185946,77,0.638,0.00454,0.638,0.523,0.0,0.0842,-6.664,0.357,139.913,4
370,King Kunta,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,234693,73,0.884,0.00589,0.884,0.657,0.0,0.154,-4.569,0.0977,107.059,4
371,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",Kendrick Lamar,2012,310720,65,0.587,0.0152,0.587,0.698,0.0,0.442,-8.948,0.0943,133.954,4
372,Definition,Mos Def & Talib Kweli Are Black Star,Black Star,1998-09-29,206493,57,0.65,0.0252,0.65,0.9,0.0,0.176,-4.099,0.374,89.788,4
373,Rebirth Of Slick (Cool Like Dat),Reachin' (A New Refutation Of Time And Space),Digable Planets,1993-01-01,261266,58,0.884,0.0476,0.884,0.334,0.0588,0.107,-18.943,0.228,98.315,4
374,Vibes and Stuff,The Low End Theory,A Tribe Called Quest,1991-09-24,257826,47,0.819,0.708,0.819,0.261,0.0216,0.108,-14.406,0.181,92.348,4
375,Stem / Long Stem - Medley,Endtroducing.....,DJ Shadow,1996-09-16,467373,35,0.507,0.931,0.507,0.416,0.165,0.11,-12.838,0.0341,106.179,4
376,Faith in Strangers,Faith in Strangers,Andy Stott,2014-11-17,389186,47,0.657,0.0286,0.657,0.692,0.894,0.11,-10.121,0.0526,136.995,4
377,Vaporware 01,Plays Bee Mask,Donato Dozzy,2013-09-02,349951,33,0.362,0.72,0.362,0.603,0.983,0.407,-14.474,0.0492,130.038,3
378,Vaporware 05,Plays Bee Mask,Donato Dozzy,2013-09-02,363380,29,0.355,0.585,0.355,0.847,0.964,0.113,-13.649,0.0371,180.046,3
379,Slow Fade,Slow Fade EP,Daniel Avery,2018-01-19,328924,5,0.42,0.0788,0.42,0.535,0.922,0.0831,-14.442,0.0255,93.014,4
380,Lubricate Your Living Room,Lush Life Electronica,The Bionaut,1995-01-01,202000,13,0.714,0.068,0.714,0.673,0.85,0.116,-15.477,0.0509,120.016,4
381,Heliosphan,Selected Ambient Works 85-92,Aphex Twin,1992-02-10,293800,49,0.345,0.455,0.345,0.612,0.956,0.0854,-14.163,0.0416,130.743,4
382,Limerence,Mono No Aware,Various Artists,2017-03-17,329361,0,0.32,0.887,0.32,0.324,0.202,0.119,-16.613,0.03,182.057,3
383,In McDonalds,Untrue,Burial,2007,127000,0,0.216,0.982,0.216,0.143,0.943,0.193,-22.863,0.0405,123.202,3
384,El Hacedor De Lluvia - Original Mix,A La Izquierda Del Colibrí,Jorge Reyes,2017-07-28,299786,18,0.429,0.51,0.429,0.0968,0.949,0.117,-25.495,0.0482,180.326,3
385,Yelli,Cape Cira,K-Lone,2020-04-24,423092,25,0.808,0.123,0.808,0.652,0.58,0.0914,-10.032,0.0488,115.0,3
386,Cape Cira,Cape Cira,K-Lone,2020-04-24,377200,33,0.452,0.623,0.452,0.393,0.903,0.112,-13.736,0.0632,119.966,3
387,Du rocher,Hotel Nota,Roméo Poirier,2020-09-04,264000,14,0.221,0.938,0.221,0.406,0.927,0.103,-18.163,0.0505,89.447,4
388,The Big Sea,Fast Asleep,Funki Porcini,2002-07-29,471026,15,0.231,0.0303,0.231,0.378,0.895,0.113,-14.293,0.0343,82.778,4
389,Them That's Not - Cash Mix,What Does It All Mean? - 1983-2006 Retrospective,Steinski,2008-05-27,130120,3,0.564,0.564,0.564,0.652,6.3e-06,0.83,-13.01,0.32,95.637,4
390,Swan Lake - Beat Poets Mix,What Does It All Mean? - 1983-2006 Retrospective,Steinski,2008-05-27,186880,3,0.902,0.229,0.902,0.448,0.229,0.229,-14.914,0.247,95.974,4
391,A Night at The Nufonia,Carpal Tunnel Syndrome,Kid Koala,2000-02-01,233653,8,0.724,0.546,0.724,0.628,0.278,0.127,-8.491,0.666,78.597,4
392,Children Of Earth,4444,Sam Gendel,2017-11-17,242952,16,0.467,0.758,0.467,0.305,0.00626,0.13,-12.981,0.0579,93.595,4
393,Quarantena,Quarantena,Tenderlonious,2020-08-21,271990,19,0.506,0.404,0.506,0.431,0.107,0.108,-9.428,0.0413,102.991,4
394,Secret Senshi,Memory Tape,Desired,2017-01-09,140042,47,0.702,0.409,0.702,0.523,0.0275,0.074,-8.332,0.143,81.991,4
395,I'm So Alone,Lovestory,Desired,2017-01-08,212375,44,0.547,0.00135,0.547,0.749,7.74e-06,0.382,-4.673,0.316,129.97,4
396,Hold On,Wu Hen,Kamaal Williams,2020-07-24,200596,36,0.304,0.963,0.304,0.243,0.154,0.103,-15.443,0.0408,102.898,3
397,State Of Mind (Slack Mix) - Roza Terenzi's Slow Buck,State Of Mind (Slack Mix),Peyote Dreams,2021-01-27,338362,20,0.757,0.000901,0.757,0.644,0.839,0.111,-10.585,0.0459,115.023,4
398,Lockdown Light,Lockdown Light,Afriqua,2021-03-05,207050,8,0.732,0.568,0.732,0.56,0.12,0.129,-8.122,0.128,119.965,4
399,The Way I Feel,Doss,Doss,2014-04-29,266471,24,0.703,0.0993,0.703,0.708,0.871,0.0955,-11.344,0.0347,127.998,4
400,Delirious,Delirious,Saucy Lady,2021-02-20,283626,19,0.729,0.101,0.729,0.741,7.81e-05,0.042,-6.778,0.0503,115.991,4
401,Let's Not Start A Fight,Let's Not Start A Fight / Do Me Like That,Family Of Geniuses,2018-06-26,280500,6,0.738,0.0075,0.738,0.705,0.000482,0.143,-11.644,0.0608,115.016,4
402,I Miss You (feat. Roman),CHAM!,Macross 82-99,2015-10-21,166000,37,0.606,0.00698,0.606,0.793,0.454,0.3,-7.422,0.0318,119.986,4
403,Perfect Blue,CHAM!,Macross 82-99,2015-10-21,175462,38,0.678,0.000943,0.678,0.839,0.393,0.3,-7.614,0.0376,119.043,4
404,Take California,Decksandrumsandrockandroll 20th anniversary,Propellerheads,1998-01-01,441760,42,0.749,0.000259,0.749,0.873,0.807,0.172,-5.651,0.0571,119.833,4
405,Kelly Watch the Stars - Moog Cookbook Remix,The Remixes - Vol.1,Air,2015-06-15,340720,17,0.655,0.043,0.655,0.938,0.754,0.376,-7.079,0.0527,115.13,4
406,Cross Wind Take Off,Take Off And Landing,Yoshinori Sunahara,1998-09-25,221200,1,0.582,0.152,0.582,0.887,0.0161,0.268,-8.507,0.188,92.228,4
407,Love Dream,8bit Fever,Hi-Speed,1999-03-25,230533,1,0.715,0.0634,0.715,0.826,0.775,0.0627,-11.04,0.195,184.374,4
408,Sneakman,Jet Set Radio SEGA Original Tracks,Various Artists,2012-10-03,231129,43,0.753,0.0431,0.753,0.93,0.468,0.365,-5.274,0.142,155.015,4
409,The Concept of Love,Jet Set Radio Future SEGA Original Tracks,SEGA SOUND TEAM,2012-10-03,222014,43,0.63,0.00342,0.63,0.976,0.789,0.111,-5.564,0.0846,122.02,4
410,Shape Da Future,Jet Set Radio Future SEGA Original Tracks,SEGA SOUND TEAM,2012-10-03,229006,33,0.55,0.00128,0.55,0.98,2.42e-06,0.439,-5.409,0.0836,132.105,4
411,Pinot Noir,Buy Now,Eyeliner,2015-06-27,333433,36,0.627,0.241,0.627,0.623,0.806,0.117,-10.968,0.0331,172.661,4
412,Mammagamma - Instrumental,Eye In The Sky (Expanded Edition),The Alan Parsons Project,1982,213893,49,0.695,0.394,0.695,0.477,0.886,0.137,-12.431,0.0322,103.567,4
413,Eye In The Sky,Eye In The Sky (Expanded Edition),The Alan Parsons Project,1982,276280,69,0.823,0.562,0.823,0.417,0.00098,0.0765,-12.643,0.032,111.928,4
414,Everywhere,Tango In The Night,Fleetwood Mac,1987-04-13,222733,0,0.69,0.218,0.69,0.54,0.00657,0.115,-10.516,0.0317,114.846,4
415,More Than This,Avalon,Roxy Music,1982-05-01,270651,66,0.653,0.0508,0.653,0.666,0.0466,0.139,-7.808,0.0249,128.505,4
416,Hey Nineteen,Gaucho,Steely Dan,1980,307400,63,0.952,0.0126,0.952,0.301,0.000931,0.0387,-13.936,0.0612,119.629,4
417,The Sweetest Taboo - Remastered,The Ultimate Collection,Sade,2011-05-09,265186,47,0.718,0.19,0.718,0.913,0.0448,0.347,-6.777,0.0466,91.649,4
418,Human Nature,Thriller,Michael Jackson,1982-11-30,246040,54,0.628,0.498,0.628,0.409,0.00565,0.29,-14.348,0.0306,93.005,4
419,Blobject,SoulCity EP,Two Shell,2021-03-12,356293,21,0.549,0.303,0.549,0.762,0.851,0.0753,-11.258,0.0519,134.01,4
420,Coco tapioka:The Huge Dancer,Space Channel 5 20th Anniversary GyunGyun Selection [Original Soundtrack],Various Artists,2019-12-18,237094,12,0.674,0.0251,0.674,0.892,0.404,0.0487,-8.069,0.0614,119.882,4
421,Option:The Reporter From Sch5,Space Channel 5 20th Anniversary GyunGyun Selection [Original Soundtrack],Various Artists,2019-12-18,159865,11,0.559,0.000338,0.559,0.861,0.928,0.313,-7.692,0.0323,143.938,4
422,Mororin!monroe!:Rapid Geminis In The Monitor,Space Channel 5 20th Anniversary GyunGyun Selection [Original Soundtrack],Various Artists,2019-12-18,252228,8,0.5,0.0122,0.5,0.988,0.784,0.38,-9.359,0.055,144.0,4
423,Aquatic Ambience,Aquatic Ambience,Funk Fiction,2019-01-15,194000,47,0.654,0.232,0.654,0.477,0.9,0.587,-8.648,0.0281,150.034,4
424,The Will of the Wind,Direct,Vangelis,1988-10-31,284106,20,0.556,0.0793,0.556,0.688,0.544,0.106,-14.404,0.0408,145.447,4
425,Tutu,Tutu,Miles Davis,1986-12,316666,38,0.633,0.121,0.633,0.416,0.594,0.111,-13.802,0.0451,70.72,4
426,Perfect Way,Cupid & Psyche 85,Scritti Politti,1985-06-10,284120,42,0.72,0.104,0.72,0.64,0.0414,0.353,-11.882,0.066,104.576,4
427,Machine Gun Ibiza,Jordan: The Comeback,Prefab Sprout,1990-10-02,222960,18,0.801,0.52,0.801,0.461,1.17e-05,0.0545,-8.988,0.0416,111.75,4
428,Tinseltown in the Rain,A Walk Across the Rooftops,The Blue Nile,1984-04-30,357826,51,0.777,0.0575,0.777,0.817,1.27e-05,0.0782,-6.699,0.0346,117.7,4
429,Happiness Is Easy - 1997 Remaster,The Colour of Spring,Talk Talk,1986,390693,48,0.699,0.0214,0.699,0.407,0.0694,0.0393,-12.58,0.0548,106.948,4
430,Mayor Of Simpleton - 2001 Remaster,Oranges & Lemons,XTC,1989,238050,43,0.56,0.0208,0.56,0.966,0.000117,0.292,-4.675,0.0309,139.265,4
431,No Restrictions,Cargo,Men At Work,1983,275200,28,0.551,0.223,0.551,0.904,1.6e-05,0.104,-4.245,0.0805,98.045,4
432,Down Under,Business As Usual,Men At Work,1981-11-09,222320,67,0.739,0.129,0.739,0.459,0.0194,0.0474,-14.42,0.0294,107.115,4
433,The Whistle Song,Beyond The Mix,Frankie Knuckles,1991-01-01,417706,43,0.71,0.0344,0.71,0.616,0.225,0.0936,-16.306,0.116,120.385,4
434,I'll Take You There - Director's Cut Classic Signature Radio Version,I'll Take You There,Frankie Knuckles,2019-08-23,255259,47,0.688,0.0111,0.688,0.865,0.491,0.226,-8.77,0.0341,125.01,4
435,Dreaming Of Better Days,Soundtrack From The Duality Double-Play,Larry Heard,2005-08-15,306893,33,0.708,0.009,0.708,0.688,9.84e-06,0.227,-13.666,0.0336,117.988,4
436,Boogie Down,Dancefloor Boogie Delites,Ron Trent,2016-10-28,488135,29,0.698,0.133,0.698,0.559,0.88,0.03,-12.853,0.0461,118.0,4
437,See-Line Woman - Masters At Work Remix,Verve Remixed,Various Artists,2002-01-01,604186,33,0.706,0.456,0.706,0.652,0.119,0.114,-9.043,0.069,119.007,4
438,Daily Prayer,Up Hill Battle EP,Mr. G,2012-04-09,429402,31,0.704,0.07,0.704,0.768,0.00163,0.118,-11.171,0.0804,124.949,4
439,Ragysh,Ragysh,Todd Terje,2011-04-04,500200,36,0.806,0.00874,0.806,0.787,0.894,0.0728,-10.52,0.0727,120.01,4
440,Strandbar - Disko,Strandbar,Todd Terje,2013-06-12,527704,29,0.81,0.0543,0.81,0.949,0.957,0.155,-8.732,0.0428,121.971,4
441,Antibodies,L.A.,Tensnake,2020-10-16,200021,53,0.776,0.0336,0.776,0.814,0.0,0.109,-5.86,0.0737,118.032,4
442,Lone Swordsman,Dusting For Smoke,Daniel Avery,2020-09-01,233499,31,0.575,0.176,0.575,0.558,0.884,0.128,-13.325,0.0375,119.989,4
443,Unchained,Listen to Your Heart,Session Victim,2017-06-02,180862,38,0.663,0.405,0.663,0.518,0.942,0.0833,-16.34,0.0505,91.008,4
444,Props Vote of Gratitude,Decksandrumsandrockandroll 20th anniversary,Propellerheads,1998-01-01,307933,13,0.613,0.527,0.613,0.496,5.93e-06,0.109,-9.977,0.312,115.937,4
445,360° (Oh Yeah),Decksandrumsandrockandroll 20th anniversary,Propellerheads,1998-01-01,267973,18,0.843,0.0369,0.843,0.664,0.119,0.35,-6.87,0.254,143.776,4
446,High Noon,Pre-Emptive Strike,DJ Shadow,1998-01-13,239760,35,0.467,0.000857,0.467,0.96,0.794,0.689,-7.636,0.0412,137.865,4
447,Leave Home,Exit Planet Dust,The Chemical Brothers,1995-01-01,332788,46,0.626,0.0123,0.626,0.848,0.798,0.695,-8.691,0.0431,108.012,4
448,In Dust We Trust,Exit Planet Dust,The Chemical Brothers,1995-01-01,317400,37,0.524,1.46e-05,0.524,0.962,0.772,0.483,-7.512,0.0377,120.971,4
449,Only This Moment,The Understanding,Röyksopp,2005-06-22,235680,27,0.505,0.000162,0.505,0.943,0.0158,0.209,-6.232,0.0391,122.976,4
450,The Grid - Remixed by The Crystal Method,TRON: Legacy Reconfigured,Daft Punk,2011-01-01,267786,37,0.634,0.0283,0.634,0.798,0.546,0.1,-6.86,0.0607,125.011,4
451,Hey Big Eyes - George Clanton Remix,Hey Big Eyes (George Clanton Remix),Caroline Polachek,2020-12-08,222876,35,0.4,1.73e-05,0.4,0.969,0.606,0.952,-7.541,0.0478,88.31,4
452,With Every Heartbeat - with Kleerup - Tong and Spoon Wonderland Remix,With Every Heartbeat,Robyn,2007-01-01,434853,30,0.799,0.00389,0.799,0.497,0.781,0.065,-7.164,0.146,126.013,4
453,Music Sounds Better With You - Radio Edit,Music Sounds Better With You,Stardust,1998-07-20,260906,66,0.729,0.00128,0.729,0.662,0.208,0.305,-7.191,0.337,124.149,4
454,Children,Children (Dance Vault Mixes),Robert Miles,1996-07-11,243266,68,0.604,0.000298,0.604,0.755,0.817,0.0625,-10.761,0.0337,137.064,4
455,Take Me Away - Vocal Radio Mix,Believe,4 Strings,2003,190426,0,0.623,0.0017,0.623,0.792,0.0575,0.18,-6.991,0.0372,138.009,4
456,Love at First Sight,Love at First Sight,Kylie Minogue,2002,238868,23,0.605,0.02,0.605,0.805,0.0784,0.0538,-6.068,0.0425,124.99,4
457,Ghosts - Vincent De Moor Mix,Ghosts,Tenth Planet,2009-11-02,406046,0,0.564,0.0396,0.564,0.854,0.269,0.351,-8.339,0.0448,138.973,4
458,Drifting Away (feat. Skye) - Lange's Sunset Mix,Better Late Than Never,Lange,2008-02-25,434261,0,0.61,0.00339,0.61,0.953,0.845,0.141,-6.646,0.0538,135.963,4
459,That's The Way Love Goes,Janet,Janet Jackson,1993-05-18,265106,64,0.703,0.302,0.703,0.7,0.471,0.0718,-6.789,0.0693,97.675,4
460,Lonely,Rhythm Nation 1814,Janet Jackson,1989-09-19,299066,28,0.54,0.449,0.54,0.624,0.0343,0.326,-10.89,0.0349,165.6,4
461,Come Back To Me,Rhythm Nation 1814,Janet Jackson,1989-09-19,332741,43,0.428,0.626,0.428,0.409,0.00961,0.138,-12.346,0.0271,77.906,4
462,The Boy Is Mine,Never Say Never,Brandy,1998-05-29,294786,66,0.704,0.539,0.704,0.707,0.00106,0.318,-6.537,0.0391,93.145,4
463,Don't Take It Personal (Just One of Dem Days),Miss Thang,Monica,1995-07-18,258466,55,0.731,0.00864,0.731,0.355,5.14e-05,0.0579,-12.741,0.0603,175.72,4
464,Return of the Mack,Return of the Mack,Mark Morrison,1996-04-22,213093,72,0.715,0.00631,0.715,0.833,0.0,0.164,-5.379,0.108,95.487,4
465,California Love - Original Version,The Best of 2Pac,2Pac,2007-12-03,284480,64,0.761,0.0292,0.761,0.847,2.26e-06,0.39,-3.068,0.0417,91.519,4
466,No Diggity,Another Level,Blackstreet,1996-09-09,304600,75,0.867,0.303,0.867,0.646,0.0,0.279,-4.674,0.288,88.634,4
467,Fantasy,Daydream,Mariah Carey,1995-09-26,243493,73,0.669,0.139,0.669,0.727,0.0,0.123,-7.588,0.0353,102.322,4
468,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,Life After Death (2014 Remastered Edition),The Notorious B.I.G.,1997-03-04,257399,72,0.845,0.0128,0.845,0.884,2.1e-06,0.203,-4.506,0.0759,104.536,4
469,I Wanna Sex You Up - Single Mix,C.M.B.,Color Me Badd,1991-07-23,236946,59,0.551,0.00549,0.551,0.591,6.55e-06,0.0416,-8.404,0.12,201.81,4
470,Show Me Love - Radio Version,Robyn Is Here,Robyn,1995-10-13,229226,58,0.546,0.0745,0.546,0.643,0.0,0.213,-4.069,0.0437,181.838,4
471,Tom's Diner,Tom's Album,Various Artists,1991-01-01,228306,62,0.86,0.0204,0.86,0.439,0.0147,0.0465,-12.264,0.0495,99.144,4
472,Beethoven (I Love To Listen) - Remastered Version,Savage,Eurythmics,1987-11-09,293960,30,0.774,0.0682,0.774,0.859,0.0203,0.0382,-5.469,0.0744,112.508,4
473,Time To Breathe,Feeling Normal,Calibre,2021-02-26,350498,30,0.734,0.0937,0.734,0.542,0.798,0.0978,-8.757,0.0423,139.994,4
474,Ultraviolet,DJ-Kicks: Special Request,Special Request,2021-03-19,414476,0,0.776,0.266,0.776,0.957,0.848,0.147,-7.103,0.0378,123.003,4
475,Twangle Frent (Special Request Rework) - Mixed,DJ-Kicks: Special Request,Special Request,2021-03-19,271008,1,0.394,0.00213,0.394,0.965,0.888,0.336,-11.668,0.0503,142.08,4
476,Lola's Theme,Lola's Theme,The Shapeshifters,2004-01-01,207066,65,0.748,0.00083,0.748,0.845,0.000225,0.068,-4.612,0.0536,123.925,4
477,And Groove - Edit,And Groove,India Jordan,2021-03-02,205785,41,0.675,0.462,0.675,0.915,0.771,0.208,-5.889,0.0378,135.025,4
478,Premier Gaou,Premier Gaou,Francis Mercier,2021-03-15,227213,34,0.704,0.00565,0.704,0.934,0.185,0.0759,-4.725,0.0469,122.024,4
479,Ave Maria,Horse Meat Disco,Various Artists,1981,451694,0,0.647,0.00722,0.647,0.807,0.0629,0.341,-9.497,0.0415,110.987,4
480,Shinkansen,Globe Trekker: Original Journeys,Various Artists,2006-01-01,159026,6,0.609,0.00752,0.609,0.841,0.93,0.928,-15.948,0.0388,129.912,4
481,Massif (Stay Strong),Big Loada,Squarepusher,1997-07-21,387426,15,0.61,0.297,0.61,0.956,0.71,0.111,-9.355,0.0615,94.969,4
482,Beep Street,Hard Normal Daddy,Squarepusher,1997,397133,42,0.499,0.0756,0.499,0.82,0.869,0.0849,-8.835,0.0541,161.449,4
483,minipops 67 [120.2][source field mix],Syro,Aphex Twin,2014-09-19,287586,41,0.716,0.284,0.716,0.83,0.887,0.067,-7.661,0.0395,120.194,4
484,Baby,Sixteen Oceans,Four Tet,2020-03-13,264464,54,0.792,0.487,0.792,0.576,0.00325,0.0972,-9.947,0.248,127.066,4
485,School,Sixteen Oceans,Four Tet,2020-03-13,242081,40,0.645,0.00417,0.645,0.741,0.576,0.0372,-8.488,0.0507,129.302,4
486,Like My Way,You've Got the Whole Night to Go,Logic1000,2021-01-22,253440,41,0.803,0.0258,0.803,0.581,0.84,0.0768,-8.054,0.17,125.007,4
487,Cool (Jayda G Remix),Cool (Jayda G Remix),Dua Lipa,2020-09-11,246386,40,0.808,0.0413,0.808,0.829,0.0351,0.101,-7.392,0.0663,119.988,4
488,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,2020-03-27,203064,87,0.702,0.00883,0.702,0.825,0.0,0.0674,-3.787,0.0601,102.977,4
489,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,91,0.514,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4
490,Super Rich Kids,channel ORANGE,Frank Ocean,2012-07-10,304760,67,0.739,0.219,0.739,0.419,0.0,0.196,-8.241,0.0854,60.493,4
491,POWER,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,292093,78,0.542,0.0161,0.542,0.914,0.0,0.744,-4.747,0.113,153.993,4
492,All Of The Lights,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,299613,75,0.531,0.0796,0.531,0.803,1.71e-05,0.176,-3.284,0.0717,142.113,4
493,Monster,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,378893,71,0.628,0.00244,0.628,0.692,0.0129,0.668,-5.64,0.202,124.887,5
494,Public Service Announcement (Interlude),The Black Album,JAY-Z,2003-11-14,172600,45,0.449,0.344,0.449,0.96,1.67e-05,0.484,-1.123,0.634,177.547,4
495,Dirt Off Your Shoulder,The Black Album,JAY-Z,2003-11-14,245733,33,0.785,0.0311,0.785,0.68,5.36e-06,0.223,-6.726,0.326,163.962,4
