,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
50,You Wanted a Hit,This Is Happening,LCD Soundsystem,2010-05-17,546413,42,0.968,0.00165,0.968,0.398,0.0013,0.0619,-10.293,0.102,125.996,4
51,Evan Finds the Third Room,Con Todo El Mundo,Khruangbin,2018-01-26,240742,51,0.781,0.00998,0.781,0.386,0.567,0.166,-9.974,0.0827,105.812,4
52,Paradise,Stronger Than Pride,Sade,1988-10-28,242240,0,0.598,0.128,0.598,0.663,0.34,0.073,-7.351,0.0515,199.236,4
53,Let It Go (with Marc E. Bassy) - Extended Mix,Let It Go (with Marc E. Bassy),Louie Vega,2020-07-10,458866,44,0.749,0.0107,0.749,0.78,0.46,0.0678,-8.028,0.0764,130.007,4
54,1980's,1980's EP,Fred Falke,2020-07-17,322566,22,0.701,0.000554,0.701,0.873,0.00101,0.136,-6.215,0.0513,118.026,4
55,As (part 1: Perspicacity),Gigantic Days,Ian O'Brien,1999-01-01,464373,4,0.621,0.0828,0.621,0.946,0.927,0.0748,-7.137,0.0377,100.899,4
56,Summertime Breeze,"Sceneries Not Songs, Volume 1",Larry Heard,1994-03-01,464066,37,0.756,0.00945,0.756,0.468,0.904,0.142,-11.698,0.0455,99.007,4
57,Steppin' Out,Night And Day,Joe Jackson,1982-01-01,262866,54,0.584,0.0366,0.584,0.474,0.000363,0.0518,-9.431,0.0296,160.173,4
58,Pandora (For Cindy),Treasure,Cocteau Twins,1984-11-01,335306,0,0.448,0.26,0.448,0.555,0.366,0.105,-9.919,0.0291,158.294,3
59,You Don't Fool Me - Remastered 2011,Made in Heaven (Deluxe Remastered Version),Queen,1995-11-06,324853,40,0.589,0.103,0.589,0.829,8.62e-05,0.381,-6.494,0.036,121.973,4
60,In The River - Dub Instrumental,Shake,iLEVEL,1985-01-01,313595,9,0.867,0.0414,0.867,0.53,0.276,0.0731,-13.609,0.0375,104.571,4
61,Early Till Late,Cantoma (Deluxe),Cantoma,2005,285893,21,0.328,0.985,0.328,0.0709,0.876,0.108,-21.161,0.0484,73.667,1
62,Nothing Looks the Same In the Light,Fantastic,Wham!,1983-07-09,356106,36,0.783,0.526,0.783,0.346,0.0235,0.105,-13.811,0.0379,98.798,4
63,24/7,Blue River (Remastered),Smith & Mudd,2019-04-05,272764,6,0.668,0.194,0.668,0.595,0.855,0.166,-11.887,0.03,99.989,4
64,Couldn't Love You More,One World,John Martyn,1967,187720,40,0.563,0.797,0.563,0.114,0.000176,0.0835,-18.602,0.0324,81.579,4
65,Some People,Always Guaranteed,Cliff Richard,1987,231560,51,0.725,0.243,0.725,0.519,0.000233,0.0729,-12.864,0.0338,109.99,4
66,Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,1985-02-25,251488,81,0.645,0.347,0.645,0.795,0.00389,0.104,-12.095,0.0527,112.067,4
67,Finally,It's In the Lifestyle (Limited Edition),Kings Of Tomorrow,2000,315826,57,0.859,0.0135,0.859,0.584,3.9e-05,0.251,-10.933,0.0584,124.988,4
68,Movement,On A Mission,Katy B,2011-04-04,160893,19,0.67,0.294,0.67,0.806,0.0,0.419,-4.489,0.0447,126.918,4
69,Sp 11,Send a Prayer EP,Motor City Drum Ensemble,2013-04-05,315052,0,0.737,0.013,0.737,0.885,0.792,0.368,-9.077,0.105,124.997,4
70,Hungboo - DJ-Kicks,DJ-Kicks EP,Peggy Gou,2019-05-31,275533,9,0.705,0.514,0.705,0.854,0.259,0.445,-7.048,0.0849,95.075,4
71,It Makes You Forget (Itgehane),It Makes You Forget (Itgehane),Peggy Gou,2018-01-23,395416,46,0.797,0.015,0.797,0.922,0.578,0.0606,-9.686,0.0474,125.001,4
72,Better Than This - Soul Talk Remix,Better Than This,Paul Johnson,2014-03-23,244615,10,0.72,0.169,0.72,0.605,0.000559,0.081,-11.393,0.0452,104.005,4
73,Big Love,Big Love,Pete Heller's Big Love,1998-12-07,609806,43,0.688,0.000676,0.688,0.829,0.864,0.0419,-5.825,0.0444,126.799,4
74,Isn't It Midnight - 2017 Remaster,Tango in the Night (2017 Remaster),Fleetwood Mac,1987-04-14,253586,35,0.511,0.00162,0.511,0.665,0.173,0.247,-8.529,0.0275,145.964,4
75,Stand Up for the Soul - Vocal Mix,90's House & Garage compiled by Joey Negro,Joey Negro,2015-06-29,420730,0,0.618,0.00348,0.618,0.503,1.41e-05,0.0854,-7.992,0.0876,122.01,4
